case_index	table_id	hypothesis	label
29-9	T1544	Johnny Cash had no more than two wives.	E
29-10	T1544	Johnny Cash had no more than three wives.	E
29-11	T1544	Johnny Cash had exactly one wife.	C
29-12	T1544	Johnny Cash had exactly two wives.	E
29-13	T1544	Johnny Cash had exactly three wives.	C
29-14	T1544	Johnny Cash had one wife.	E
29-15	T1544	Johnny Cash had two wives.	E
29-16	T1544	Johnny Cash had three wives.	C
29-17	T1544	Johnny Cash had at least one wife.	E
29-18	T1544	Johnny Cash had at least two wives.	E
29-19	T1544	Johnny Cash had at least three wives.	C
29-23	T1544	Johnny Cash had no less than one wife.	E
29-24	T1544	Johnny Cash had no less than two wives.	E
29-25	T1544	Johnny Cash had no less than three wives.	C
29-26	T1544	Johnny Cash had more than one wife.	E
29-27	T1544	Johnny Cash had more than two wives.	C
29-28	T1544	Johnny Cash had more than three wives.	C
30-0	T1550	Jørgen Skafte Rasmussen had less than three children.	C
30-1	T1550	Jørgen Skafte Rasmussen had less than four children.	C
30-2	T1550	Jørgen Skafte Rasmussen had less than five children.	E
30-9	T1550	Jørgen Skafte Rasmussen had no more than three children.	C
30-10	T1550	Jørgen Skafte Rasmussen had no more than four children.	E
30-11	T1550	Jørgen Skafte Rasmussen had no more than five children.	E
30-12	T1550	Jørgen Skafte Rasmussen had exactly three children.	C
30-13	T1550	Jørgen Skafte Rasmussen had exactly four children.	E
30-14	T1550	Jørgen Skafte Rasmussen had exactly five children.	C
30-15	T1550	Jørgen Skafte Rasmussen had three children.	E
30-16	T1550	Jørgen Skafte Rasmussen had four children.	E
30-17	T1550	Jørgen Skafte Rasmussen had five children.	C
30-18	T1550	Jørgen Skafte Rasmussen had at least three children.	E
30-19	T1550	Jørgen Skafte Rasmussen had at least four children.	E
30-20	T1550	Jørgen Skafte Rasmussen had at least five children.	C
30-24	T1550	Jørgen Skafte Rasmussen had no less than three children.	E
30-25	T1550	Jørgen Skafte Rasmussen had no less than four children.	E
30-26	T1550	Jørgen Skafte Rasmussen had no less than five children.	C
30-27	T1550	Jørgen Skafte Rasmussen had more than three children.	E
30-28	T1550	Jørgen Skafte Rasmussen had more than four children.	C
30-29	T1550	Jørgen Skafte Rasmussen had more than five children.	C
31-0	T1601	Jimmy Eat World has been on less than 11 labels.	C
31-1	T1601	Jimmy Eat World has been on less than 12 labels.	C
31-2	T1601	Jimmy Eat World has been on less than 13 labels.	E
31-9	T1601	Jimmy Eat World has been on no more than 11 labels.	C
31-10	T1601	Jimmy Eat World has been on no more than 12 labels.	E
31-11	T1601	Jimmy Eat World has been on no more than 13 labels.	E
31-12	T1601	Jimmy Eat World has been on exactly 11 labels.	C
31-13	T1601	Jimmy Eat World has been on exactly 12 labels.	E
31-14	T1601	Jimmy Eat World has been on exactly 13 labels.	C
31-15	T1601	Jimmy Eat World has been on 11 labels.	E
31-16	T1601	Jimmy Eat World has been on 12 labels.	E
31-17	T1601	Jimmy Eat World has been on 13 labels.	C
31-18	T1601	Jimmy Eat World has been on at least 11 labels.	E
31-19	T1601	Jimmy Eat World has been on at least 12 labels.	E
31-20	T1601	Jimmy Eat World has been on at least 13 labels.	C
31-24	T1601	Jimmy Eat World has been on no less than 11 labels.	E
31-25	T1601	Jimmy Eat World has been on no less than 12 labels.	E
31-26	T1601	Jimmy Eat World has been on no less than 13 labels.	C
31-27	T1601	Jimmy Eat World has been on more than 11 labels.	E
31-28	T1601	Jimmy Eat World has been on more than 12 labels.	C
31-29	T1601	Jimmy Eat World has been on more than 13 labels.	C
32-0	T1659	Jungle had music written by less than two people.	E
32-5	T1659	Jungle had music written by no more than one person.	E
32-6	T1659	Jungle had music written by no more than two people.	E
32-7	T1659	Jungle had music written by exactly one person.	E
32-8	T1659	Jungle had music written by exactly two people.	C
32-9	T1659	Jungle had music written by one person.	E
32-10	T1659	Jungle had music written by two people.	C
32-11	T1659	Jungle had music written by at least one person.	E
32-12	T1659	Jungle had music written by at least two people.	C
32-15	T1659	Jungle had music written by no less than one person.	E
32-16	T1659	Jungle had music written by no less than two people.	C
32-17	T1659	Jungle had music written by more than one person.	C
32-18	T1659	Jungle had music written by more than two people.	C
33-1	T1688	John Cyril Porte served less than twice.	C
33-2	T1688	John Cyril Porte served less than three times.	E
33-9	T1688	John Cyril Porte served no more than once.	C
33-10	T1688	John Cyril Porte served no more than twice.	E
33-11	T1688	John Cyril Porte served no more than three times.	E
33-12	T1688	John Cyril Porte served exactly once.	C
33-13	T1688	John Cyril Porte served exactly twice.	E
33-14	T1688	John Cyril Porte served exactly three times.	C
33-15	T1688	John Cyril Porte served once.	E
33-16	T1688	John Cyril Porte served twice.	E
33-17	T1688	John Cyril Porte served three times.	C
33-18	T1688	John Cyril Porte served at least once.	E
33-19	T1688	John Cyril Porte served at least twice.	E
33-20	T1688	John Cyril Porte served at least three times.	C
33-24	T1688	John Cyril Porte served no less than once.	E
33-25	T1688	John Cyril Porte served no less than twice.	E
33-26	T1688	John Cyril Porte served no less than three times.	C
33-27	T1688	John Cyril Porte served more than once.	E
33-28	T1688	John Cyril Porte served more than twice.	C
33-29	T1688	John Cyril Porte served more than three times.	C
34-0	T1706	Jeff Lynne has had less than two names.	C
34-1	T1706	Jeff Lynne has had less than three names.	E
34-8	T1706	Jeff Lynne has had no more than one name.	C
34-9	T1706	Jeff Lynne has had no more than two names.	E
34-10	T1706	Jeff Lynne has had no more than three names.	E
34-11	T1706	Jeff Lynne has had exactly one name.	C
34-12	T1706	Jeff Lynne has had exactly two names.	E
34-13	T1706	Jeff Lynne has had exactly three names.	C
34-14	T1706	Jeff Lynne has had one name.	E
34-15	T1706	Jeff Lynne has had two names.	E
34-16	T1706	Jeff Lynne has had three names.	C
34-17	T1706	Jeff Lynne has had at least one name.	E
34-18	T1706	Jeff Lynne has had at least two names.	E
34-19	T1706	Jeff Lynne has had at least three names.	C
34-23	T1706	Jeff Lynne has had no less than one name.	E
34-24	T1706	Jeff Lynne has had no less than two names.	E
34-25	T1706	Jeff Lynne has had no less than three names.	C
34-26	T1706	Jeff Lynne has had more than one name.	E
34-27	T1706	Jeff Lynne has had more than two names.	C
34-28	T1706	Jeff Lynne has had more than three names.	C
35-0	T1768	Iced Earth also had less than two names.	C
35-1	T1768	Iced Earth also had less than three names.	E
35-8	T1768	Iced Earth also had no more than one name.	C
35-9	T1768	Iced Earth also had no more than two names.	E
35-10	T1768	Iced Earth also had no more than three names.	E
35-11	T1768	Iced Earth also had exactly one name.	C
35-12	T1768	Iced Earth also had exactly two names.	E
35-13	T1768	Iced Earth also had exactly three names.	C
35-14	T1768	Iced Earth also had one name.	E
35-15	T1768	Iced Earth also had two names.	E
35-16	T1768	Iced Earth also had three names.	C
35-17	T1768	Iced Earth also had at least one name.	E
35-18	T1768	Iced Earth also had at least two names.	E
35-19	T1768	Iced Earth also had at least three names.	C
35-23	T1768	Iced Earth also had no less than one name.	E
35-24	T1768	Iced Earth also had no less than two names.	E
35-25	T1768	Iced Earth also had no less than three names.	C
35-26	T1768	Iced Earth also had more than one name.	E
35-27	T1768	Iced Earth also had more than two names.	C
35-28	T1768	Iced Earth also had more than three names.	C
36-0	T1888	Huntinyon Beach council has less than six members.	C
36-1	T1888	Huntinyon Beach council has less than seven members.	C
36-2	T1888	Huntinyon Beach council has less than eight members.	E
36-9	T1888	Huntinyon Beach council has no more than six members.	C
36-10	T1888	Huntinyon Beach council has no more than seven members.	E
36-11	T1888	Huntinyon Beach council has no more than eight members.	E
36-12	T1888	Huntinyon Beach council has exactly six members.	C
36-13	T1888	Huntinyon Beach council has exactly seven members.	E
36-14	T1888	Huntinyon Beach council has exactly eight members.	C
36-15	T1888	Huntinyon Beach council has six members.	E
36-16	T1888	Huntinyon Beach council has seven members.	E
36-17	T1888	Huntinyon Beach council has eight members.	C
36-18	T1888	Huntinyon Beach council has at least six members.	E
36-19	T1888	Huntinyon Beach council has at least seven members.	E
36-20	T1888	Huntinyon Beach council has at least eight members.	C
36-24	T1888	Huntinyon Beach council has no less than six members.	E
36-25	T1888	Huntinyon Beach council has no less than seven members.	E
36-26	T1888	Huntinyon Beach council has no less than eight members.	C
36-27	T1888	Huntinyon Beach council has more than six members.	E
36-28	T1888	Huntinyon Beach council has more than seven members.	C
36-29	T1888	Huntinyon Beach council has more than eight members.	C
37-0	T1917	People speak less than two languages in Republic of Iraq.	C
37-1	T1917	People speak less than three languages in Republic of Iraq.	E
37-8	T1917	People speak no more than one language in Republic of Iraq.	C
37-9	T1917	People speak no more than two languages in Republic of Iraq.	E
37-10	T1917	People speak no more than three languages in Republic of Iraq.	E
37-11	T1917	People speak exactly one language in Republic of Iraq.	C
37-12	T1917	People speak exactly two languages in Republic of Iraq.	E
37-13	T1917	People speak exactly three languages in Republic of Iraq.	C
37-14	T1917	People speak one language in Republic of Iraq.	E
37-15	T1917	People speak two languages in Republic of Iraq.	E
37-16	T1917	People speak three languages in Republic of Iraq.	C
37-17	T1917	People speak at least one language in Republic of Iraq.	E
37-18	T1917	People speak at least two languages in Republic of Iraq.	E
37-19	T1917	People speak at least three languages in Republic of Iraq.	C
37-23	T1917	People speak no less than one language in Republic of Iraq.	E
37-24	T1917	People speak no less than two languages in Republic of Iraq.	E
37-25	T1917	People speak no less than three languages in Republic of Iraq.	C
37-26	T1917	People speak more than one language in Republic of Iraq.	E
37-27	T1917	People speak more than two languages in Republic of Iraq.	C
37-28	T1917	People speak more than three languages in Republic of Iraq.	C
38-0	T46	Janet Leigh was married less than three times.	C
38-1	T46	Janet Leigh was married less than four times.	C
38-2	T46	Janet Leigh was married less than five times.	E
38-9	T46	Janet Leigh was married no more than three times.	C
38-10	T46	Janet Leigh was married no more than four times.	E
38-11	T46	Janet Leigh was married no more than five times.	E
38-12	T46	Janet Leigh was married exactly three times.	C
38-13	T46	Janet Leigh was married exactly four times.	E
38-14	T46	Janet Leigh was married exactly five times.	C
38-15	T46	Janet Leigh was married three times.	E
38-16	T46	Janet Leigh was married four times.	E
38-17	T46	Janet Leigh was married five times.	C
38-18	T46	Janet Leigh was married at least three times.	E
38-19	T46	Janet Leigh was married at least four times.	E
38-20	T46	Janet Leigh was married at least five times.	C
38-24	T46	Janet Leigh was married no less than three times.	E
38-25	T46	Janet Leigh was married no less than four times.	E
38-26	T46	Janet Leigh was married no less than five times.	C
38-27	T46	Janet Leigh was married more than three times.	E
38-28	T46	Janet Leigh was married more than four times.	C
38-29	T46	Janet Leigh was married more than five times.	C
39-0	T47	Jodie Whittaker has had less than two husbands.	E
39-5	T47	Jodie Whittaker has had no more than one husband.	E
39-6	T47	Jodie Whittaker has had no more than two husbands.	E
39-7	T47	Jodie Whittaker has had exactly one husband.	E
39-8	T47	Jodie Whittaker has had exactly two husbands.	C
39-9	T47	Jodie Whittaker has had one husband.	E
39-10	T47	Jodie Whittaker has had two husbands.	C
39-11	T47	Jodie Whittaker has had at least one husband.	E
39-12	T47	Jodie Whittaker has had at least two husbands.	C
39-15	T47	Jodie Whittaker has had no less than one husband.	E
39-16	T47	Jodie Whittaker has had no less than two husbands.	C
39-17	T47	Jodie Whittaker has had more than one husband.	C
39-18	T47	Jodie Whittaker has had more than two husbands.	C
40-0	T144	Jennifer Connelly has less than two degrees.	N
40-5	T144	Jennifer Connelly has no more than one degree.	N
40-6	T144	Jennifer Connelly has no more than two degrees.	N
40-7	T144	Jennifer Connelly has exactly one degree.	N
40-8	T144	Jennifer Connelly has exactly two degrees.	N
40-9	T144	Jennifer Connelly has one degree.	N
40-10	T144	Jennifer Connelly has two degrees.	N
40-11	T144	Jennifer Connelly has at least one degree.	N
40-12	T144	Jennifer Connelly has at least two degrees.	N
40-15	T144	Jennifer Connelly has no less than one degree.	N
40-16	T144	Jennifer Connelly has no less than two degrees.	N
40-17	T144	Jennifer Connelly has more than one degree.	N
40-18	T144	Jennifer Connelly has more than two degrees.	N
41-0	T144	Jennifer Connelly has had less than two husbands.	E
41-5	T144	Jennifer Connelly has had no more than one husband.	E
41-6	T144	Jennifer Connelly has had no more than two husbands.	E
41-7	T144	Jennifer Connelly has had exactly one husband.	E
41-8	T144	Jennifer Connelly has had exactly two husbands.	C
41-9	T144	Jennifer Connelly has had one husband.	E
41-10	T144	Jennifer Connelly has had two husbands.	C
41-11	T144	Jennifer Connelly has had at least one husband.	E
41-12	T144	Jennifer Connelly has had at least two husbands.	C
41-15	T144	Jennifer Connelly has had no less than one husband.	E
41-16	T144	Jennifer Connelly has had no less than two husbands.	C
41-17	T144	Jennifer Connelly has had more than one husband.	C
41-18	T144	Jennifer Connelly has had more than two husbands.	C
42-0	T149	Johnny Cash was on less than five labels.	N
42-1	T149	Johnny Cash was on less than six labels.	N
42-2	T149	Johnny Cash was on less than seven labels.	N
42-9	T149	Johnny Cash was on no more than five labels.	N
42-10	T149	Johnny Cash was on no more than six labels.	N
42-11	T149	Johnny Cash was on no more than seven labels.	N
42-12	T149	Johnny Cash was on exactly five labels.	N
42-13	T149	Johnny Cash was on exactly six labels.	N
42-14	T149	Johnny Cash was on exactly seven labels.	N
42-15	T149	Johnny Cash was on five labels.	N
42-16	T149	Johnny Cash was on six labels.	N
42-17	T149	Johnny Cash was on seven labels.	N
42-18	T149	Johnny Cash was on at least five labels.	N
42-19	T149	Johnny Cash was on at least six labels.	N
42-20	T149	Johnny Cash was on at least seven labels.	N
42-24	T149	Johnny Cash was on no less than five labels.	N
42-25	T149	Johnny Cash was on no less than six labels.	N
42-26	T149	Johnny Cash was on no less than seven labels.	N
42-27	T149	Johnny Cash was on more than five labels.	N
42-28	T149	Johnny Cash was on more than six labels.	N
42-29	T149	Johnny Cash was on more than seven labels.	N
43-0	T162	Bailiwick of Jersey has less than two languages.	E
43-5	T162	Bailiwick of Jersey has no more than one language.	E
43-6	T162	Bailiwick of Jersey has no more than two languages.	E
43-7	T162	Bailiwick of Jersey has exactly one language.	E
43-8	T162	Bailiwick of Jersey has exactly two languages.	C
43-9	T162	Bailiwick of Jersey has one language.	E
43-10	T162	Bailiwick of Jersey has two languages.	C
43-11	T162	Bailiwick of Jersey has at least one language.	E
43-12	T162	Bailiwick of Jersey has at least two languages.	C
43-15	T162	Bailiwick of Jersey has no less than one language.	E
43-16	T162	Bailiwick of Jersey has no less than two languages.	C
43-17	T162	Bailiwick of Jersey has more than one language.	C
43-18	T162	Bailiwick of Jersey has more than two languages.	C
44-0	T172	The city of Bruges has less than three codes.	C
44-1	T172	The city of Bruges has less than four codes.	C
44-2	T172	The city of Bruges has less than five codes.	E
44-9	T172	The city of Bruges has no more than three codes.	C
44-10	T172	The city of Bruges has no more than four codes.	E
44-11	T172	The city of Bruges has no more than five codes.	E
44-12	T172	The city of Bruges has exactly three codes.	C
44-13	T172	The city of Bruges has exactly four codes.	E
44-14	T172	The city of Bruges has exactly five codes.	C
44-15	T172	The city of Bruges has three codes.	E
44-16	T172	The city of Bruges has four codes.	E
44-17	T172	The city of Bruges has five codes.	C
44-18	T172	The city of Bruges has at least three codes.	E
44-19	T172	The city of Bruges has at least four codes.	E
44-20	T172	The city of Bruges has at least five codes.	C
44-24	T172	The city of Bruges has no less than three codes.	E
44-25	T172	The city of Bruges has no less than four codes.	E
44-26	T172	The city of Bruges has no less than five codes.	C
44-27	T172	The city of Bruges has more than three codes.	E
44-28	T172	The city of Bruges has more than four codes.	C
44-29	T172	The city of Bruges has more than five codes.	C
45-0	T174	Jidenna has appeared on less than two labels.	C
45-1	T174	Jidenna has appeared on less than three labels.	C
45-2	T174	Jidenna has appeared on less than four labels.	E
45-9	T174	Jidenna has appeared on no more than two labels.	C
45-10	T174	Jidenna has appeared on no more than three labels.	E
45-11	T174	Jidenna has appeared on no more than four labels.	E
45-12	T174	Jidenna has appeared on exactly two labels.	C
45-13	T174	Jidenna has appeared on exactly three labels.	E
45-14	T174	Jidenna has appeared on exactly four labels.	C
45-15	T174	Jidenna has appeared on two labels.	E
45-16	T174	Jidenna has appeared on three labels.	E
45-17	T174	Jidenna has appeared on four labels.	C
45-18	T174	Jidenna has appeared on at least two labels.	E
45-19	T174	Jidenna has appeared on at least three labels.	E
45-20	T174	Jidenna has appeared on at least four labels.	C
45-24	T174	Jidenna has appeared on no less than two labels.	E
45-25	T174	Jidenna has appeared on no less than three labels.	E
45-26	T174	Jidenna has appeared on no less than four labels.	C
45-27	T174	Jidenna has appeared on more than two labels.	E
45-28	T174	Jidenna has appeared on more than three labels.	C
45-29	T174	Jidenna has appeared on more than four labels.	C
46-0	T220	Faith No More made music on less than four labels.	C
46-1	T220	Faith No More made music on less than five labels.	C
46-2	T220	Faith No More made music on less than six labels.	E
46-9	T220	Faith No More made music on no more than four labels.	C
46-10	T220	Faith No More made music on no more than five labels.	E
46-11	T220	Faith No More made music on no more than six labels.	E
46-12	T220	Faith No More made music on exactly four labels.	C
46-13	T220	Faith No More made music on exactly five labels.	E
46-14	T220	Faith No More made music on exactly six labels.	C
46-15	T220	Faith No More made music on four labels.	E
46-16	T220	Faith No More made music on five labels.	E
46-17	T220	Faith No More made music on six labels.	C
46-18	T220	Faith No More made music on at least four labels.	E
46-19	T220	Faith No More made music on at least five labels.	E
46-20	T220	Faith No More made music on at least six labels.	C
46-24	T220	Faith No More made music on no less than four labels.	E
46-25	T220	Faith No More made music on no less than five labels.	E
46-26	T220	Faith No More made music on no less than six labels.	C
46-27	T220	Faith No More made music on more than four labels.	E
46-28	T220	Faith No More made music on more than five labels.	C
46-29	T220	Faith No More made music on more than six labels.	C
47-0	T263	Joe Biden has less than two wives.	C
47-1	T263	Joe Biden has less than three wives.	E
47-8	T263	Joe Biden has no more than one wife.	C
47-9	T263	Joe Biden has no more than two wives.	E
47-10	T263	Joe Biden has no more than three wives.	E
47-11	T263	Joe Biden has exactly one wife.	C
47-12	T263	Joe Biden has exactly two wives.	E
47-13	T263	Joe Biden has exactly three wives.	C
47-14	T263	Joe Biden has one wife.	E
47-15	T263	Joe Biden has two wives.	E
47-16	T263	Joe Biden has three wives.	C
47-17	T263	Joe Biden has at least one wife.	E
47-18	T263	Joe Biden has at least two wives.	E
47-19	T263	Joe Biden has at least three wives.	C
47-23	T263	Joe Biden has no less than one wife.	E
47-24	T263	Joe Biden has no less than two wives.	E
47-25	T263	Joe Biden has no less than three wives.	C
47-26	T263	Joe Biden has more than one wife.	E
47-27	T263	Joe Biden has more than two wives.	C
47-28	T263	Joe Biden has more than three wives.	C
48-0	T329	Johannes Gutenberg held less than two occupations.	C
48-1	T329	Johannes Gutenberg held less than three occupations.	C
48-2	T329	Johannes Gutenberg held less than four occupations.	E
48-9	T329	Johannes Gutenberg held no more than two occupations.	C
48-10	T329	Johannes Gutenberg held no more than three occupations.	E
48-11	T329	Johannes Gutenberg held no more than four occupations.	E
48-12	T329	Johannes Gutenberg held exactly two occupations.	C
48-13	T329	Johannes Gutenberg held exactly three occupations.	E
48-14	T329	Johannes Gutenberg held exactly four occupations.	C
48-15	T329	Johannes Gutenberg held two occupations.	E
48-16	T329	Johannes Gutenberg held three occupations.	E
48-17	T329	Johannes Gutenberg held four occupations.	C
48-18	T329	Johannes Gutenberg held at least two occupations.	E
48-19	T329	Johannes Gutenberg held at least three occupations.	E
48-20	T329	Johannes Gutenberg held at least four occupations.	C
48-24	T329	Johannes Gutenberg held no less than two occupations.	E
48-25	T329	Johannes Gutenberg held no less than three occupations.	E
48-26	T329	Johannes Gutenberg held no less than four occupations.	C
48-27	T329	Johannes Gutenberg held more than two occupations.	E
48-28	T329	Johannes Gutenberg held more than three occupations.	C
48-29	T329	Johannes Gutenberg held more than four occupations.	C
49-0	T343	Kamelot is made up of less than three members.	N
49-1	T343	Kamelot is made up of less than four members.	N
49-2	T343	Kamelot is made up of less than five members.	N
49-9	T343	Kamelot is made up of no more than three members.	N
49-10	T343	Kamelot is made up of no more than four members.	N
49-11	T343	Kamelot is made up of no more than five members.	N
49-12	T343	Kamelot is made up of exactly three members.	N
49-13	T343	Kamelot is made up of exactly four members.	N
49-14	T343	Kamelot is made up of exactly five members.	N
49-15	T343	Kamelot is made up of three members.	N
49-16	T343	Kamelot is made up of four members.	N
49-17	T343	Kamelot is made up of five members.	N
49-18	T343	Kamelot is made up of at least three members.	N
49-19	T343	Kamelot is made up of at least four members.	N
49-20	T343	Kamelot is made up of at least five members.	N
49-24	T343	Kamelot is made up of no less than three members.	N
49-25	T343	Kamelot is made up of no less than four members.	N
49-26	T343	Kamelot is made up of no less than five members.	N
49-27	T343	Kamelot is made up of more than three members.	N
49-28	T343	Kamelot is made up of more than four members.	N
49-29	T343	Kamelot is made up of more than five members.	N
50-0	T364	Hayley Williams can play less than six instruments.	C
50-1	T364	Hayley Williams can play less than seven instruments.	C
50-2	T364	Hayley Williams can play less than eight instruments.	E
50-9	T364	Hayley Williams can play no more than six instruments.	C
50-10	T364	Hayley Williams can play no more than seven instruments.	E
50-11	T364	Hayley Williams can play no more than eight instruments.	E
50-12	T364	Hayley Williams can play exactly six instruments.	C
50-13	T364	Hayley Williams can play exactly seven instruments.	E
50-14	T364	Hayley Williams can play exactly eight instruments.	C
50-15	T364	Hayley Williams can play six instruments.	E
50-16	T364	Hayley Williams can play seven instruments.	E
50-17	T364	Hayley Williams can play eight instruments.	C
50-18	T364	Hayley Williams can play at least six instruments.	E
50-19	T364	Hayley Williams can play at least seven instruments.	E
50-20	T364	Hayley Williams can play at least eight instruments.	C
50-24	T364	Hayley Williams can play no less than six instruments.	E
50-25	T364	Hayley Williams can play no less than seven instruments.	E
50-26	T364	Hayley Williams can play no less than eight instruments.	C
50-27	T364	Hayley Williams can play more than six instruments.	E
50-28	T364	Hayley Williams can play more than seven instruments.	C
50-29	T364	Hayley Williams can play more than eight instruments.	C
51-0	T423	The artist Bryson Tiller has been signed to less than two labels.	N
51-5	T423	The artist Bryson Tiller has been signed to no more than one label.	N
51-6	T423	The artist Bryson Tiller has been signed to no more than two labels.	N
51-7	T423	The artist Bryson Tiller has been signed to exactly one label.	N
51-8	T423	The artist Bryson Tiller has been signed to exactly two labels.	N
51-9	T423	The artist Bryson Tiller has been signed to one label.	N
51-10	T423	The artist Bryson Tiller has been signed to two labels.	N
51-11	T423	The artist Bryson Tiller has been signed to at least one label.	N
51-12	T423	The artist Bryson Tiller has been signed to at least two labels.	N
51-15	T423	The artist Bryson Tiller has been signed to no less than one label.	N
51-16	T423	The artist Bryson Tiller has been signed to no less than two labels.	N
51-17	T423	The artist Bryson Tiller has been signed to more than one label.	N
51-18	T423	The artist Bryson Tiller has been signed to more than two labels.	N
52-0	T465	Coolaid was released under less than two labels.	C
52-1	T465	Coolaid was released under less than three labels.	E
52-8	T465	Coolaid was released under no more than one label.	C
52-9	T465	Coolaid was released under no more than two labels.	E
52-10	T465	Coolaid was released under no more than three labels.	E
52-11	T465	Coolaid was released under exactly one label.	C
52-12	T465	Coolaid was released under exactly two labels.	E
52-13	T465	Coolaid was released under exactly three labels.	C
52-14	T465	Coolaid was released under one label.	E
52-15	T465	Coolaid was released under two labels.	E
52-16	T465	Coolaid was released under three labels.	C
52-17	T465	Coolaid was released under at least one label.	E
52-18	T465	Coolaid was released under at least two labels.	E
52-19	T465	Coolaid was released under at least three labels.	C
52-23	T465	Coolaid was released under no less than one label.	E
52-24	T465	Coolaid was released under no less than two labels.	E
52-25	T465	Coolaid was released under no less than three labels.	C
52-26	T465	Coolaid was released under more than one label.	E
52-27	T465	Coolaid was released under more than two labels.	C
52-28	T465	Coolaid was released under more than three labels.	C
53-0	T567	Dhruva is produced by less than two people.	C
53-1	T567	Dhruva is produced by less than three people.	E
53-8	T567	Dhruva is produced by no more than one person.	C
53-9	T567	Dhruva is produced by no more than two people.	E
53-10	T567	Dhruva is produced by no more than three people.	E
53-11	T567	Dhruva is produced by exactly one person.	C
53-12	T567	Dhruva is produced by exactly two people.	E
53-13	T567	Dhruva is produced by exactly three people.	C
53-14	T567	Dhruva is produced by one person.	E
53-15	T567	Dhruva is produced by two people.	E
53-16	T567	Dhruva is produced by three people.	C
53-17	T567	Dhruva is produced by at least one person.	E
53-18	T567	Dhruva is produced by at least two people.	E
53-19	T567	Dhruva is produced by at least three people.	C
53-23	T567	Dhruva is produced by no less than one person.	E
53-24	T567	Dhruva is produced by no less than two people.	E
53-25	T567	Dhruva is produced by no less than three people.	C
53-26	T567	Dhruva is produced by more than one person.	E
53-27	T567	Dhruva is produced by more than two people.	C
53-28	T567	Dhruva is produced by more than three people.	C
54-1	T711	Frances was married less than twice.	N
54-6	T711	Frances was married no more than once.	N
54-7	T711	Frances was married no more than twice.	N
54-8	T711	Frances was married exactly once.	N
54-9	T711	Frances was married exactly twice.	N
54-10	T711	Frances was married once.	N
54-11	T711	Frances was married twice.	N
54-12	T711	Frances was married at least once.	N
54-13	T711	Frances was married at least twice.	N
54-16	T711	Frances was married no less than once.	N
54-17	T711	Frances was married no less than twice.	N
54-18	T711	Frances was married more than once.	N
54-19	T711	Frances was married more than twice.	N
55-0	T712	Coca-Cola has less than eight variants.	C
55-1	T712	Coca-Cola has less than nine variants.	C
55-2	T712	Coca-Cola has less than ten variants.	E
55-9	T712	Coca-Cola has no more than eight variants.	C
55-10	T712	Coca-Cola has no more than nine variants.	E
55-11	T712	Coca-Cola has no more than ten variants.	E
55-12	T712	Coca-Cola has exactly eight variants.	C
55-13	T712	Coca-Cola has exactly nine variants.	E
55-14	T712	Coca-Cola has exactly ten variants.	C
55-15	T712	Coca-Cola has eight variants.	E
55-16	T712	Coca-Cola has nine variants.	E
55-17	T712	Coca-Cola has ten variants.	C
55-18	T712	Coca-Cola has at least eight variants.	E
55-19	T712	Coca-Cola has at least nine variants.	E
55-20	T712	Coca-Cola has at least ten variants.	C
55-24	T712	Coca-Cola has no less than eight variants.	E
55-25	T712	Coca-Cola has no less than nine variants.	E
55-26	T712	Coca-Cola has no less than ten variants.	C
55-27	T712	Coca-Cola has more than eight variants.	E
55-28	T712	Coca-Cola has more than nine variants.	C
55-29	T712	Coca-Cola has more than ten variants.	C
56-0	T732	Dido has released less than six albums.	N
56-1	T732	Dido has released less than seven albums.	N
56-2	T732	Dido has released less than eight albums.	N
56-9	T732	Dido has released no more than six albums.	N
56-10	T732	Dido has released no more than seven albums.	N
56-11	T732	Dido has released no more than eight albums.	N
56-12	T732	Dido has released exactly six albums.	N
56-13	T732	Dido has released exactly seven albums.	N
56-14	T732	Dido has released exactly eight albums.	N
56-15	T732	Dido has released six albums.	N
56-16	T732	Dido has released seven albums.	N
56-17	T732	Dido has released eight albums.	N
56-18	T732	Dido has released at least six albums.	N
56-19	T732	Dido has released at least seven albums.	N
56-20	T732	Dido has released at least eight albums.	N
56-24	T732	Dido has released no less than six albums.	N
56-25	T732	Dido has released no less than seven albums.	N
56-26	T732	Dido has released no less than eight albums.	N
56-27	T732	Dido has released more than six albums.	N
56-28	T732	Dido has released more than seven albums.	N
56-29	T732	Dido has released more than eight albums.	N
57-0	T766	Cognac comes in less than two variants.	C
57-1	T766	Cognac comes in less than three variants.	C
57-2	T766	Cognac comes in less than four variants.	E
57-9	T766	Cognac comes in no more than two variants.	C
57-10	T766	Cognac comes in no more than three variants.	E
57-11	T766	Cognac comes in no more than four variants.	E
57-12	T766	Cognac comes in exactly two variants.	C
57-13	T766	Cognac comes in exactly three variants.	E
57-14	T766	Cognac comes in exactly four variants.	C
57-15	T766	Cognac comes in two variants.	E
57-16	T766	Cognac comes in three variants.	E
57-17	T766	Cognac comes in four variants.	C
57-18	T766	Cognac comes in at least two variants.	E
57-19	T766	Cognac comes in at least three variants.	E
57-20	T766	Cognac comes in at least four variants.	C
57-24	T766	Cognac comes in no less than two variants.	E
57-25	T766	Cognac comes in no less than three variants.	E
57-26	T766	Cognac comes in no less than four variants.	C
57-27	T766	Cognac comes in more than two variants.	E
57-28	T766	Cognac comes in more than three variants.	C
